* -1:-1
default 0 5
default 0 6
default 0 7
default 0 8
default 0 9
default 0 10
default 0 11
default 0 12
default 0 13
default 0 14
default 0 15
default 1 5
default 1 6
default 1 7
default 1 8
default 1 9
default 1 10
default 1 11
default 1 12
default 1 13
default 1 14
default 1 15
default 2 5
default 2 6
default 2 7
default 2 8
default 2 9
default 2 10
default 2 11
default 2 12
default 2 13
default 2 14
default 2 15
default 3 5
default 3 6
default 3 7
default 3 8
default 3 9
default 3 10
default 3 11
default 3 12
default 3 13
default 3 14
default 3 15
default 4 5
default 4 6
default 4 7
default 4 8
default 4 9
default 4 10
default 4 11
default 4 12
default 4 13
default 4 14
default 4 15
default 5 5
default 5 6
default 5 7
default 5 8
default 5 9
default 5 10
default 5 11
default 5 12
default 5 13
default 5 14
default 5 15
default 6 5
default 6 6
default 6 7
default 6 8
default 6 9
default 6 10
default 6 11
default 6 12
default 6 13
default 6 14
default 6 15
default 7 5
default 7 6
default 7 7
default 7 8
default 7 9
default 7 10
default 7 11
default 7 12
default 7 13
default 7 14
default 7 15
default 8 5
default 8 6
default 8 7
default 8 8
default 8 9
default 8 10
default 8 11
default 8 12
default 8 13
default 8 14
default 8 15
default 9 5
default 9 6
default 9 7
default 9 8
default 9 9
default 9 10
default 9 11
default 9 12
default 9 13
default 9 14
default 9 15
default 10 5
default 10 6
default 10 7
default 10 8
default 10 9
default 10 10
default 10 11
default 10 12
default 10 13
default 10 14
default 10 15
default 11 5
default 11 6
default 11 7
default 11 8
default 11 9
default 11 10
default 11 11
default 11 12
default 11 13
default 11 14
default 11 15
default 12 5
default 12 6
default 12 7
default 12 8
default 12 9
default 12 10
default 12 11
default 12 12
default 12 13
default 12 14
default 12 15
default 13 5
default 13 6
default 13 7
default 13 8
default 13 9
default 13 10
default 13 11
default 13 12
default 13 13
default 13 14
default 13 15
default 14 5
default 14 6
default 14 7
default 14 8
default 14 9
default 14 10
default 14 11
default 14 12
default 14 13
default 14 14
default 14 15
default 15 5
default 15 6
default 15 7
default 15 8
default 15 9
default 15 10
default 15 11
default 15 12
default 15 13
default 15 14
default 15 15
* -1:0
default 0 0
default 0 1
default 0 2
default 0 3
default 0 4
default 0 5
default 0 6
default 0 7
default 0 8
default 0 9
default 0 10
default 0 11
default 0 12
default 0 13
default 0 14
default 0 15
default 1 0
default 1 1
default 1 2
default 1 3
default 1 4
default 1 5
default 1 6
default 1 7
default 1 8
default 1 9
default 1 10
default 1 11
default 1 12
default 1 13
default 1 14
default 1 15
default 2 0
default 2 1
default 2 2
default 2 3
default 2 4
default 2 5
default 2 6
default 2 7
default 2 8
default 2 9
default 2 10
default 2 11
default 2 12
default 2 13
default 2 14
default 2 15
default 3 0
default 3 1
default 3 2
default 3 3
default 3 4
default 3 5
default 3 6
default 3 7
default 3 8
default 3 9
default 3 10
default 3 11
default 3 12
default 3 13
default 3 14
default 3 15
default 4 0
default 4 1
default 4 2
default 4 3
default 4 4
default 4 5
default 4 6
default 4 7
default 4 8
default 4 9
default 4 10
default 4 11
default 4 12
default 4 13
default 4 14
default 4 15
default 5 0
default 5 1
default 5 2
default 5 3
default 5 4
default 5 5
default 5 6
default 5 7
default 5 8
default 5 9
default 5 10
default 5 11
default 5 12
default 5 13
default 5 14
default 5 15
default 6 0
default 6 1
default 6 2
default 6 3
default 6 4
default 6 5
default 6 6
